Linux 6.1.0-37-amd64 (dep881-unknown25827779.i.nease.net) 	08/20/26 	_x86_64_	(16 CPU)

17:04:00     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:04:15       6   44.44    0.00   12.12    1.01    0.00   12.12    6.06    0.00    0.00   24.24
17:04:15       7   38.10    0.00   13.33    0.00    0.00    3.81    5.71    0.00    0.00   39.05
17:04:15       8   35.64    0.00   19.80    0.00    0.00    0.99    7.92    0.00    0.00   35.64
17:04:15       9   42.57    0.00   16.83    0.00    0.00    2.97    6.93    0.00    0.00   30.69
17:04:15      10   52.53    0.00   14.14    0.00    0.00    3.03    5.05    0.00    0.00   25.25
17:04:15      11   43.56    0.00   11.88    0.00    0.00    4.95    5.94    0.00    0.00   33.66
17:04:15      12   39.18    0.00   19.59    8.25    0.00    2.06    6.19    0.00    0.00   24.74
17:04:15      13   43.88    0.00   14.29    3.06    0.00    2.04    6.12    0.00    0.00   30.61
17:04:15      14   42.57    0.00   11.88    7.92    0.00    3.96    4.95    0.00    0.00   28.71
17:04:15      15   55.34    0.00   12.62    0.00    0.00    0.00    4.85    0.00    0.00   27.18

17:04:15     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:04:16     all   47.71    0.00   16.21    1.36    0.00    4.76    4.33    0.00    0.00   25.62
17:04:16       0   55.24    0.00   14.29    0.00    0.00    7.62    3.81    0.00    0.00   19.05
